division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_2,3,-5,37,3,3,2,2,3,3,2,3,3,2,2,4,3,2
25seas,Player_20,2,-2,40,3,3,3,4,4,3,2,2,2,2,3,3,4,2
25seas,Player_11,1,-6,36,3,3,4,2,3,2,2,2,2,3,2,4,2,2
25seas,Player_31,3,-4,38,2,4,2,3,3,3,2,3,2,2,3,3,3,3
25seas,Player_17,2,-3,39,2,3,2,2,4,3,2,2,4,3,3,4,2,3
25seas,Player_9,2,1,43,3,4,2,3,3,3,2,3,3,3,3,4,3,4
25seas,Player_4,1,2,44,2,4,5,3,4,3,4,2,4,3,3,2,3,2
25seas,Player_19,1,14,56,5,4,3,4,4,5,4,4,5,2,4,4,4,4
25seas,Player_6,2,4,46,3,4,3,4,5,3,3,3,3,3,2,3,4,3
25seas,Player_13,3,4,46,4,4,3,3,6,3,3,2,3,3,3,3,4,2
25seas,Player_5,3,12,54,6,4,3,3,4,3,5,3,3,4,3,5,4,4
25seas,Player_12,1,18,60,6,5,3,4,4,4,6,4,3,3,6,3,4,5
